회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보
(주)파이오링크,"[코스닥 상장사] Linux,Python,Java,Api 개발자 모집(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458119&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 금천구,신입·경력,초대졸↑,정규직,~ 12/31(화),"Python, C++, Java, 솔루션, Linux 외                    수정일 24/11/25",IT개발·데이터 지원 TOP100
마인드원(주),소프트웨어 개발 (Java&Python) 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49167327&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,신입,대졸↑,정규직,내일마감,"Python, Java, 솔루션, 웹개발, 앱개발 외                    수정일 24/12/05",IT개발·데이터 지원 TOP100
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49441156&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,신입·경력,대졸↑,정규직,~ 12/20(금),"Python, 딥러닝, 머신러닝, 빅데이터, 데이터분석가 외                    등록일 24/11/20",인기있는
㈜칸테크,ORACLE/PYTHON/JAVA/SQL 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49545109&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,초대졸↑,정규직,~ 01/05(일),"Python, Java, 솔루션, 웹개발, 데이터시각화 외                    등록일 24/12/06",IT개발·데이터 지원 TOP100
플러거,마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463011&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,학력무관,정규직·계약직,~ 12/25(수),"Python, Java, AWS, DBA, SI개발 외                    등록일 24/11/25",인기있는
(주)코레이즈홀딩스,[코레이즈]  Python (Flask) 웹 개발자 채용 (신입-보충역),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537488&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 성동구,신입·경력,학력무관,정규직·계약직,~ 01/04(토),"Python, 솔루션, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/12/05",인기있는
행복쇼핑(주),[재택근무] REACT · PHP · PYTHON 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476675&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 양천구,경력3년↑,초대졸↑,정규직,~ 01/25(토),"Python, 딥러닝, AWS, 솔루션, 머신러닝 외                    수정일 24/12/06",재택근무
(주)꿈선생,"[DealMakers] BE, Python Software Engineer 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535457&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,부산 남구,경력무관,학력무관,정규직,~ 01/04(토),"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/12/05",인기있는
(주)케이엘피,파이썬(Python) 크롤링 가능하신분 구합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510655&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,고졸↑,정규직·계약직,~ 12/11(수),"Python, AWS, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/12/02",급성장중
(주)케이엘피,파이썬(Python) 백엔드 개발자 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535988&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,고졸↑,정규직·계약직,오늘마감,"Python, AWS, 백엔드/서버개발, 앱개발, 프론트엔드 외                    수정일 24/12/05",급성장중
(주)만들다컴퍼니,"지속 성장가능한 개발 인력 모집-Flutter,Python,JAVA,재택가능",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472340&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 안양시 동안구,경력무관,대졸↑,정규직,채용시,"Python, Java, 웹개발, 백엔드/서버개발, 앱개발 외                    수정일 24/11/26",재택근무
씨맥스주식회사,"[AI개발]Python,Java,사내 LLM 구축 숙련 개발자 구인[프리O]",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532014&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 성남시 분당구,경력5년↑,학력무관,기간제·계약직,~ 01/04(토),"Python, Java, 머신러닝, 웹개발, 백엔드/서버개발 외                    수정일 24/12/06",
(주)파이오링크,"[코스닥상장사] L4-L7 스위치 개발 Linux,Python,C(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49403967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 금천구,신입·경력,학력무관,정규직,~ 12/14(토),"Python, C++, 솔루션, Linux, 빅데이터 외                    수정일 24/11/27",연봉상승률 10% 이상
(주)엘리스그룹,백엔드 엔지니어 (Python) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49383748&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력 3~5년,대졸↑,정규직,~ 12/12(목),"Python, Java, Linux, 백엔드/서버개발, RDBMS 외                    수정일 24/11/13",취업축하금
(주)사람인에이치에스,[강남/5000천이상] 플랫폼 백엔드 개발 (Python) 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429895&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력 4~12년,학력무관,정규직,채용시,"Python, AWS, 솔루션, 웹개발, 빅데이터 외                    수정일 24/12/06",
아일리스프런티어(주),AI 서비스 - 자연어처리 (NLP) / Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395261&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 종로구,경력 1~3년,학력무관,정규직,~ 12/12(목),"Python, 딥러닝, 머신러닝, 웹개발, 빅데이터 외                    등록일 24/11/13",취업축하금
아일리스프런티어(주),AI 서비스 - 자연어처리(NLP)/Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394122&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 종로구,경력 1~3년,학력무관,정규직,채용시,"Python, 딥러닝, 머신러닝, 백엔드/서버개발, 알고리즘 외                    수정일 24/11/13",연봉상승률 20% 이상
(주)링크제니시스,차량용 S/W Test 자동화 검증(Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409574&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,인천 서구,신입·경력,초대졸↑,정규직,~ 01/14(화),"Python, C++, Java, QA/테스터, S/W 외                    등록일 24/11/15",사내 카페
(주)데이터다이나믹스,정규 Python/Data Engineer (신입/경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461161&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 용인시 수지구,신입·경력,학력무관,정규직,~ 12/25(수),"Python, AWS, Linux, 빅데이터, 클라우드 외                    등록일 24/11/25",급성장중
(주)니트머스,"[신입/경력] 온라인 광고 플랫폼 개발 (Python, Django)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49214740&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 영등포구,신입,초대졸↑,정규직,~ 12/16(월),"Python, 웹개발, 백엔드/서버개발, S/W, Django 외                    수정일 24/11/22",연봉상승률 10% 이상
(주)씨에스엠17,NestJS+Python 백엔드 개발자 팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527589&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 금천구,경력5년↑,대졸↑,정규직,~ 01/02(목),"Python, C++, AWS, 웹개발, 백엔드/서버개발 외                    수정일 24/12/04",취업축하금
(주)크립토랩,소프트웨어 엔지니어 인턴 모집 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49435007&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 관악구,경력무관,대졸↑,인턴직,~ 12/31(화),"Python, 머신러닝, Linux, S/W, SDK 외                    수정일 24/11/20",시리즈A 투자유치
(주)디지키,(주)디지키 Python 데이터 처리 및 분석 프로그램 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49265971&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 안양시 만안구,신입·경력,학력무관,계약직,상시채용,"Python, 알고리즘, Pandas, 솔루션업체, 소프트웨어개발 등록일 24/10/24",급성장중
(주)케이엘피,파이썬(Python) 기반의 풀스택 개발자 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535977&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,고졸↑,정규직·계약직,오늘마감,"Python, AWS, 백엔드/서버개발, 유지보수, 프론트엔드 외                    수정일 24/12/05",급성장중
주식회사비전코어,파이썬(Python) 및 앱(ios/안드로이드) 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490854&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,대구 동구,경력3년↑,초대졸↑,정규직,~ 12/28(토),"Python, 솔루션, iOS, 소프트웨어개발 수정일 24/12/03",
NIMBYX CAPITAL INC.,"Full Stack Engineer (Python, C# Developer) 풀스택 개발자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49448256&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,신입·경력,대졸↑,정규직,~ 01/20(월),"Python, C++, ASP, ASP.NET, Azure 외                    등록일 24/11/21",IT개발·데이터 스크랩 급상승
(주)케이텍,"프로그램 개발자 모집(Machine Vision, AI(Python), C, C#, C++)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49335167&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경북 포항시 남구,경력무관,초대졸↑,정규직,상시채용,"Python, C++, SE(시스템엔지니어), SI개발, 알고리즘 외                    수정일 24/12/03",연봉상승률 15% 이상
오에스원(OS1),[웹개발] Python 백엔드/서버 인턴 개발자 채용 (ASAP),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486631&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 중구,경력무관,대졸↑,인턴직,채용시,"Python, 웹개발, 백엔드/서버개발, API, Pandas 외                    등록일 24/11/28",재택근무
(주)미니레코드,Python 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524352&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울전체,경력 1~6년,학력무관,정규직,~ 01/02(목),"Python, 딥러닝, AWS, 머신러닝, 웹개발 외                    등록일 24/12/04",취업축하금
(주)뮤즈라이브,Back-End Engineer (Python/Django),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526974&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 마포구,경력 2~5년,학력무관,정규직,~ 01/04(토),"Python, AWS, 웹개발, 백엔드/서버개발, 인프라 외                    등록일 24/12/04",취업축하금
사이테크놀로지스(주),C와 Python 개발을 담당할 분을 구합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534074&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,대전 대덕구,경력무관,대졸↑,정규직,~ 01/04(토),"Python, 개발PM, 임베디드, 하드웨어 등록일 24/12/05",급성장중
(주)이노룰스,"[AI디지털플랫폼팀] 웹개발자(Python, React, 경력 5년 이상) 경력직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49406482&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울전체,경력 5~15년,학력무관,정규직,~ 12/17(화),"Python, 솔루션, 머신러닝, 웹개발, 백엔드/서버개발 외                    등록일 24/11/15",취업축하금
(주)한영넉스,한영넉스 AI연구소 - Python 어플리케이션 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49364260&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 영등포구,경력3년↑,대졸↑,정규직,오늘마감,"Python, C++, Linux, Windows, 임베디드리눅스 외                    수정일 24/11/08",
(주)파이오링크,"[코스닥상장사] 전문연구요원(병역특례)모집 Linux,Python,C",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434190&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 금천구,경력무관,석사↑,정규직·전문연구요원,~ 12/20(금),"Python, C++, 솔루션, Linux, 빅데이터 외                    등록일 24/11/20",연봉상승률 10% 이상
(주)엑스오비스,Python 개발 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49200418&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력2년↑,대졸↑,정규직,~ 12/14(토),"Python, 솔루션, S/W, Pytorch, Tensorflow 외                    등록일 24/10/15",급성장중
(주)엑스오비스,Python 개발 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387510&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력 2~5년,대졸↑,정규직,~ 12/15(일),"Python, 딥러닝, 솔루션, 머신러닝, 웹개발 외                    등록일 24/11/12",취업축하금
에스트래픽(주),에스트래픽 Python 개발자 모집 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49416273&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 성남시 수정구,경력5년↑,초대졸↑,정규직,~ 12/15(일),"Python, 백엔드/서버개발, SI개발, Git, Redis 외                    수정일 24/12/05",
에이치에스소프트(주),Python개발자 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478598&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,인천 연수구,경력,학력무관,정규직,~ 12/16(월),"Python, 솔루션, 알고리즘, AI(인공지능), OpenCV 외                    등록일 24/11/27",연봉상승률 30% 이상
알엔에이애널리틱스(주),[RNA] Full Stack Python Developer 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49393082&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 종로구,경력,대졸↑,정규직·계약직,~ 12/13(금),"Python, AWS, 웹개발, 백엔드/서버개발, 앱개발 외                    등록일 24/11/13",평균연봉 상위 10%
(주)코레이즈홀딩스,[코레이즈]  Python (Flask) 웹 개발자 채용 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537495&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 성동구,경력 5~10년,학력무관,정규직,~ 01/04(토),"Python, 솔루션, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/12/05",급성장중
